Term1,Id wiki,Term2,Id wiki,,term1 es,id wiki es,term2 es,id wiki es,Term 1 eu,,Term 2 eu,,Mean
love,17547,sex,27546,,amor,23565,sexo,4169616,Maitasun,,Sexu harreman,,6.77
tiger,30075,cat,6678,,tigre,25113,gato,409000,Tigre,,Katu,,7.35
tiger,30075,tiger,30075,,tigre,25113,tigre,25113,Tigre,,Tigre,,10
book,3778,paper,16861908,,libro,21933,papel,12349,Liburu,,Paper,,7.46
computer,7878457,keyboard,18842281,,ordenador,8985,teclado,510471,Ordenagailu,,Giltzadi (ordenagailua),,7.62
computer,7878457,internet,14539,,ordenador,8985,internet,4507055,Ordenagailu,,Internet,,7.58
plane,46770,car,13673345,,avion,466366,coche,18019,Hegazkin,,Automobil,,5.77
train,30598,car,13673345,,tren,5428,coche,18019,Tren,,Automobil,,6.31
telephone,30003,communication,5177,,telefono,6257,comunicación,8605,Telefono,,Komunikazio,,7.5
television,29831,radio,15368428,,television,5693,radio,2226582,Telebista,,Irrati (hedabidea),,6.77
media,19641,radio,15368428,,media,1133166,radio,2226582,,-1,Irrati (hedabidea),,7.42
drug,9311172,abuse,424739,,droga,2471190,abuso,15911,Droga,,,-1,6.85
bread,36969,butter,46183,,pan,28138,mantequilla,55812,Ogi,,Gurin,,6.19
cucumber,164491,potato,23501,,Cucumis sativus,89089,patata,15162,Luzoker,,Patata,,5.92
doctor,23315,nurse,55292,,medico,2564590,enfermera,230857,Mediku,,,-1,7
professor,20646803,doctor,8881,,profesor,79570,doctor,87496,Irakasle,,,-1,6.62
student,155526,professor,20646803,,estudiante,199231,profesor,79570,Ikasle,,Irakasle,,6.81
smart,-1,student,155526,,inteligente,-1,estudiante,199231,,-1,Ikasle,,4.62
smart,-1,stupid,19159221,,inteligente,-1,Tonto,654820,,-1,Ergel,,5.81
company,4918223,stock,19372783,,Empresa,1586816,accion (finazas),121510,Enpresa,,Akzio,,7.08
stock,19372783,market,3736784,,accion,121510,mercado,14762,,-1,Merkatu,,8.08
stock,19372783,phone,30003,,accion,121510,telefono,30003,,-1,Telefono,,1.62
stock,19372783,CD,6429,,accion,121510,CD,4888,,-1,Disko konpaktu,,1.31
stock,19372783,jaguar,147676,,accion,121510,Jaguar Cars,158259,,-1,Jaguar Cars,,0.92
stock,657129,egg,19196010,,Fondo (caldo),5016233,Huevo (alimento),138544,,-1,Arrautza (elikagaia),,1.81
fertility,257215,egg,484939,,fertilidad,27284,Huevo (biología),1208111,,-1,Arrautza (biologia),,6.69
stock,19372783,live,-1,,accion,121510,Vida.._,-1,,-1,,-1,3.73
stock,19372783,life,-1,,accion,121510,vida (life),-1,,-1,,-1,0.92
book,3778,library,17727,,libro,21933,Biblioteca,402,Liburu,,Liburutegi,,7.46
bank,19360669,money,8983183,,banco,42950,dinero,23556,Banku,,Diru,,8.12
wood,33550,forest,11090,,madera,2654056,bosque,19291,Zur,,Baso,,7.73
money,8983183,cash,55336,,dinero,23556,Dinero en efectivo,278165,,-1,Eskudiru,,9.15
professor,20646803,cucumber,164491,,profesor,79570,Cucumis sativus,89089,Irakasle,,Luzoker,,0.31
king,19012,cabbage,55115,,Monarca,28253,Brassica oleracea var. Viridis )BERZA),1416906,,,Aza,,0.23
king,19012,queen,887147,,Monarca,28253,reina,40343,,-1,,-1,8.58
king,47485,rook,47615,,Rey (ajedrez),94056,Torre (ajedrez),94054,,-1,,-1,5.92
bishop,4092,rabbi,51273,,Obispo,638456,Rabino,72658,,-1,,-1,6.69
Jerusalem,16043,Israel,9282173,,Jerusalén,30029,Israel,10005,Jerusalem,,Israel,,8.46
Jerusalem,16043,Palestinian,23267,,Jerusalén,30029,Pueblo palestino,3125108,Jerusalem,,,-1,7.65
holy,12178732,sex,26805,,Sagrado,181093,sexo,4169616,,-1,,-1,1.62
fuck,5575722,sex,26805,,xxx,-1,sexo,4169616,,-1,,-1,9.44
Maradona,8485,football,10568,,Maradona,9496,futbol,674732,Diego Armando Maradona,,Futbol,,8.62
football,10568,soccer,10568,,futbol,674732,futbol,674732,Futbol,,Futbol,,9.03
football,10568,basketball,3921,,futbol,674732,Baloncesto,366,Futbol,,Saskibaloi,,6.81
football,10568,tennis,29773,,futbol,674732,tenis,5340,Futbol,,Tenis,,6.63
tennis,29773,racket,52664,,tenis,5340,raqueta,250868,Tenis,,,-1,7.56
Arafat,34289,peace,24702,,Yasir Arafat,22890,Paz,43655,Jassir Arafat,,Bake,,6.73
Arafat,34289,terror,30636,,Yasir Arafat,22890,Terrorismo,,Jassir Arafat,,Terrorismo,,7.65
Arafat,34289,Jackson,-1,,Yasir Arafat,22890,Jackson?,-1,Jassir Arafat,,Jackson?,,2.5
law,18949668,lawyer,17541,,Derecho,860,abogado,54263,Zuzenbide,,Abokatu,,8.38
movie,21555729,star,5796,,pelicula,26900,Celebridad,776488,Film,-1,,-1,7.38
movie,21555729,popcorn,232176,,pelicula,26900,Palomitas de maíz,86407,Film,-1,,-1,6.19
movie,21555729,critic,161227,,pelicula,26900,Crítica,52420,Film,-1,,-1,6.73
movie,21555729,theater,77819,,pelicula,26900,Sala de proyección (cine),487655,Film,-1,,-1,7.92
physics,22939,proton,23317,,Física,1155,Protón,2139,Fisika,,Protoi,,8.12
physics,22939,chemistry,5180,,Física,1155,Química,3354,,,Kimika,,7.35
space,27667,chemistry,5180,,Espacio (física),4073767,Química,3354,,,Espazio,,4.88
alcohol,1014,chemistry,5180,,Alcohol,7613,Química,3354,Alkohol,-1,,-1,5.54
vodka,32787,gin,12988,,Vodka,87725,Ginebra (bebida),594920,Vodka,,Gin,,8.46
vodka,32787,brandy,45189,,Vodka,87725,Brandy,150546,Vodka,-1,,-1,8.13
drink,7984,car,13673345,,Bebida,15998,coche,18019,,,Automobil,,3.04
drink,7984,ear,768413,,Bebida,15998,Oído,45403, ,,Belarri,,1.31
drink,7984,mouth,9293603,,Bebida,15998,Boca,89887,,,Aho,,5.96
drink,7984,eat,212818,,Bebida,15998,Alimentación,19324,,-1,,-1,6.87
baby,73165,mother,83430,,Bebé,47351,Madre,204484,Haur jaioberri,,Ama,,7.85
drink,7984,mother,83430,,Bebida,15998,Madre,204484,,,Ama,,2.65
car,13673345,automobile,13673345,,coche,18019,automovil,18019,Automobil,,Automobil,,8.94
gem,12806,jewel,12806,,gema,11607,Gema,11607,Harribitxi,,Harribitxi,,8.96
journey,163941,voyage,-1,,jornada,-1,viaje,-1,,-1,,-1,9.29
boy,194253,lad,-1,,chico,-1,chica,-1,Mutil,,Neska,,8.83
coast,5236,shore,480527,,Costa,89250,Ribera (orilla),199696,Itsasertz,,,-1,9.1
asylum,38722,madhouse,38722,,Hospital psiquiátrico,689261,Casa de locos,689261,,-1,,-1,8.87
